PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG,                               Group   HMDB_ID,S9,S12,S2,S16,S3,S15,S14,S10,S11,S66,S8,S1,S7,S5,S13,S4,S6,S18,S19,S20,S21,S22,S23,S24,S25,S82,S83,S84,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S17,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S26,S27,S28,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,S112
261,leucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",60,LC/MS Pos Early,397,2864,132.10191,61-90-5,6106,5880,C00123,HMDB00687,0.411,0.4041,0.5954,1.7825,0.6884,1.9889,0.5353,5.5609,0.8206,0.8739,1.3213,0.9971,0.5494,3.6975,1.59,1.9553,3.5338,1.3952,0.7729,0.5512,1.6378,1.4017,2.8963,2.2124,1.1553,2.2025,1.1388,0.2329,0.6468,0.2373,0.5256,1.6937,0.7986,0.7339,0.3759,3.3702,0.912,0.0573,0.6242,1.3654,0.94,1.435,0.8075,1.4825,2.6236,0.9984,0.6131,0.2232,0.737,1.0854,1.0951,1.3326,1.0403,1.5856,0.8037,0.4816,0.2785,0.7619,0.4557,2.1253,0.7864,0.9898,0.6065,3.2525,0.4872,0.3315,1.5611,1.0878,0.7515,2.1009,0.5786,1.9501,2.5218,2.4188,0.4532,0.2344,1.4075,2.2427,1.2948,1.5096,0.6294,1.7098,1.1867,0.5299,0.7008,1.0885,0.3731,2.0838,1.4046,0.5773,0.7513,2.4352,1.0016,0.7011,1.8622,2.2301,0.8246,0.7689,2.1704,1.4242,2.626,1.5422,0.5932,0.247,1.2077,0.8475,1.4878,2.3689,0.9431,2.4909,0.9399,0.0852
679,leucylalanine,Peptide,Dipeptide,40010,LC/MS Pos Early,100003179,2801,203.13902,7298-84-2,259321,227625,,HMDB28922,2.3862,3.0473,1.2564,0.081,1.0381,0.9094,2.3528,5.5033,0.4184,0.4697,6.7435,0.599,0.1925,0.0678,0.2335,7.2817,8.3969,3.6275,0.2973,0.3986,1.6494,0.5564,0.0678,0.5267,3.8498,0.9132,0.5803,2.1691,1.2102,0.9619,0.6441,0.0678,0.9244,3.6162,0.503,17.8771,0.764,0.7764,0.7157,0.4104,0.0678,0.2653,1.8302,0.2563,12.2747,3.0937,0.7919,3.3173,2.2093,1.4222,0.4455,0.6681,3.0066,0.7983,0.3294,3.4432,1.1424,0.9449,0.8906,0.088,1.4211,0.7509,2.0153,5.6324,1.8155,0.4016,0.6176,0.5364,0.3547,10.0982,0.805,0.0678,15.1879,2.488,0.4931,0.9569,5.2696,0.6345,2.4902,7.2877,2.156,1.3334,0.26,1.9645,0.9341,0.5372,1.7946,0.1392,7.7552,0.559,0.5828,3.2339,2.8373,0.6556,0.216,0.3704,0.6905,1.4397,5.0061,1.1053,12.4688,1.5209,0.2895,3.0315,4.8635,2.0331,0.1455,6.1592,2.8234,4.9649,0.6317,1.3753
850,leucylglutamine*,Peptide,Dipeptide,48189,LC/MS Pos Early,100003183,2620,260.1605,,4305457,3511125,,HMDB28927,1.176,1.7865,1.0142,0.1256,1.3964,1.721,1.3056,0.7659,0.6811,0.7056,3.7736,0.716,0.3844,0.0283,0.6033,4.8985,9.0113,3.1426,0.2802,0.5301,1.4045,0.2385,0.3856,2.076,1.666,0.347,0.6847,1.292,1.0962,0.9175,0.9793,0.1354,1,5.4896,0.1514,10.8502,1.1058,0.1944,0.7152,0.5187,0.3752,0.3488,2.3529,0.5298,7.1849,3.9207,0.5269,1.5343,1.2062,0.3833,0.5765,1.7184,1.4618,0.4956,0.3937,0.99,0.8866,1.5918,0.7,0.1656,1.4225,1.3871,0.227,4.0503,1.1247,0.1507,0.5065,0.4306,0.7674,6.9079,1.1182,0.048,10.5299,5.0123,0.3487,0.6921,2.087,0.3504,2.2785,6.243,1.1148,0.4877,0.4353,0.5498,1.225,0.2509,1.1829,0.1866,5.2328,1.0361,0.4555,2.8205,2.8672,0.5432,0.3202,0.5469,2.2387,1.7921,4.6069,1.0527,8.0998,3.2538,0.0283,1.8307,1.7995,0.347,0.1859,6.1726,1.174,1.1705,0.7968,0.5605
684,leucylglycine,Peptide,Dipeptide,40045,LC/MS Pos Early,100003185,2778,189.12337,686-50-0,79070,71402,,HMDB28929,1.5756,0.5769,0.9786,0.3499,0.8447,0.8753,1.356,9.2359,0.7398,1.034,3.2587,0.7523,0.2812,0.1062,0.322,3.5036,9.7097,1.521,0.3091,0.2443,2.0847,1.0845,0.2442,0.8846,1.421,2.1035,0.5644,1.0102,0.6811,0.6457,1.3026,0.1299,0.9051,1.9325,0.6899,8.3186,0.6267,0.3487,0.785,0.5262,0.1062,0.3215,1.7835,0.423,4.3747,1.3409,0.3832,0.5629,1.0726,1.7396,0.7269,1.6678,1.2621,1.0199,0.4944,1.0354,0.6919,0.9157,0.6669,0.3359,1.0584,0.6346,0.7811,8.5755,0.7429,0.976,2.1043,0.4762,0.3614,9.7659,1.1139,0.1062,9.5095,2.2336,0.2542,0.2074,2.4526,2.335,1.0923,4.1091,0.6225,2.1486,0.5108,1.0696,0.8093,0.378,0.8153,0.5866,2.8112,0.4239,1.3644,2.0467,1.8744,1.2216,1,0.3272,0.8821,1.4455,4.9193,1.1523,5.7251,1.1406,0.2326,0.6202,2.1812,2.3608,0.1062,3.621,2.6407,7.3626,1.0761,0.3241
3947,levulinate (4-oxovalerate),Xenobiotics,Food Component/Plant,22177,LC/MS Pos Early,100000765,1433,99.04406,123-76-2,11579,11091,,HMDB00720,0.3022,0.3022,0.9546,0.3022,1.2015,0.3022,1.2092,0.6417,0.578,1.3944,0.3022,1.1965,1.6584,0.3022,0.3022,1.0886,0.3022,0.3022,0.3022,0.5221,1.3757,1.0611,0.3022,0.3022,0.3022,0.9616,1.295,0.3022,0.3022,0.6528,0.649,0.3022,1.0597,0.3022,1.6992,1.0477,0.9335,1.1419,0.3022,0.9811,0.796,0.5874,0.3022,0.3022,0.3022,0.3022,1.2308,0.5535,0.3022,1.3594,0.7856,0.3022,1.2029,1.0333,1.0176,0.877,1.4506,1.4048,1.2253,0.3022,0.7326,0.9335,0.9175,0.7079,1.0013,1.3368,0.3022,1.2999,0.3022,0.3022,0.902,0.3022,0.3022,0.3022,0.3022,0.8738,1.4052,1.5418,0.3022,0.3022,0.6873,0.9062,1.5548,0.3022,1.0676,0.3022,1.0208,0.3022,0.3022,0.789,0.3022,0.3022,1.3293,0.3022,0.3022,0.9371,0.3022,0.7444,1.1893,0.3022,0.3022,0.3022,0.8048,1.2761,0.931,0.6688,0.3022,0.8936,0.8598,1.0943,0.8002,0.9987
1736,lignoceroyl ethanolamide (24:0)*,Lipid,Endocannabinoid,57535,LC/MS Pos Late,100015855,2445,412.41491,,,21169187,,,0.716,0.3553,0.831,0.3553,0.3553,0.3553,2.9615,0.3553,0.3553,0.5377,0.3553,2.1801,0.3553,0.3553,0.6409,0.3553,0.3553,0.7742,0.9542,0.7217,0.6132,2.335,5.9801,4.3077,0.3553,1.7766,2.2679,1.7265,0.3553,0.3553,2.7226,0.3561,0.3553,0.5553,5.7772,0.3553,0.3553,0.3553,0.3553,0.3553,1.453,0.9342,0.3553,0.3553,0.3553,0.3553,1.3403,0.3553,0.3553,1.0763,0.3553,0.3553,0.697,0.3553,1.3824,5.5705,0.3553,1.6816,0.5132,0.3553,0.3553,0.3553,1.6339,0.3553,0.3553,1.1024,0.3553,1,4.3519,0.5344,0.3553,0.3553,0.3553,0.3553,0.5246,0.6507,0.3553,0.3553,0.7566,0.492,0.3553,0.3553,0.5232,1.3598,0.3553,0.3553,0.3553,0.3553,0.3553,0.3553,2.1442,0.3553,0.3553,1.115,0.3553,0.3553,5.3406,0.3553,0.3553,0.3553,0.3553,0.3553,0.3553,0.3553,0.8081,0.6787,0.3553,0.3553,1.3279,0.7352,0.7361,0.3553
2562,lignoceroyl sphingomyelin (d18:1/24:0),Lipid,Sphingomyelins,57330,LC/MS Pos Late,100006298,3437,815.70006,60037-60-7,,24846875,,,0.0808,0.589,1.4502,0.6166,0.2214,3.7654,0.0808,6.7678,1.1089,1.4343,0.0808,0.2525,0.919,1.1734,2.1824,1.9685,6.7222,0.3843,0.2989,0.0808,1.8114,0.672,1.936,1.6308,0.8316,1.3266,1.3657,0.0808,0.2307,0.33,0.6399,0.8521,1.6808,0.8732,0.0808,7.1047,1.3882,0.0808,0.0808,1.0088,0.2204,0.5915,0.9912,0.6973,5.198,0.1616,0.0808,0.7292,0.7465,0.5096,0.9417,0.3484,0.3801,1.2818,0.4237,0.5253,0.0808,1.0387,0.3579,2.1041,0.6196,0.883,0.5734,3.3216,1.0821,0.0808,0.0808,0.6599,1.0948,0.6524,0.4582,0.0808,2.9545,0.2991,0.0808,0.9315,3.2067,0.9618,1.0947,3.2801,1.3937,0.8662,0.1878,0.0808,0.0808,1.4453,1.0231,1.2625,0.482,0.5677,1.6324,1.9911,1.2588,0.3898,0.0808,2.019,0.5529,1.0334,2.7891,2.1494,3.5503,0.139,0.3953,2.05,2.0638,0.622,0.2322,1.2439,1.2667,2.6122,1.1224,1.7336
1525,lignoceroylcarnitine (C24)*,Lipid,Fatty Acid Metabolism(Acyl Carnitine),57515,LC/MS Pos Late,100015834,1603,512.46733,,,,,,0.5426,0.3249,0.9699,0.3249,0.9438,5.4999,0.7724,0.6342,0.3249,0.8925,0.3249,0.7324,0.6332,1.2554,1.2624,2.2665,1.9497,0.3249,0.3249,0.4888,1.1938,1.0995,3.7733,0.3249,0.3249,0.683,0.9622,1.2075,0.3249,0.4747,0.3249,0.5776,0.6284,0.3249,1.7248,1.4128,0.3249,0.4343,0.3249,1.85,0.8641,0.3892,1.038,0.3249,0.3249,0.3249,0.8786,0.749,0.3249,0.3249,2.163,0.3249,0.7913,0.741,0.5902,1.0275,0.3249,1.0964,0.6323,0.7956,0.6329,0.3249,0.8044,1.5946,0.3249,0.3249,0.3249,0.3249,1,0.3249,0.6801,0.9491,0.6101,1.5696,0.3249,1.913,0.3249,0.3249,0.8118,1.3173,0.3249,0.3249,0.4167,0.8322,0.3249,1.9288,1.4412,0.3249,0.3658,0.5549,1.3797,5.3158,1.2284,1.9197,0.4724,1.018,1.0267,1.6769,1.2061,1.502,0.3249,0.3249,2.3535,0.3249,1.5989,0.3249,6.7428,3.2101,0.3249,4.1662,1.0227,0.8818
1260,linoleate (18:2n6),Lipid,Polyunsaturated Fatty Acid (n3 and n6),1105,LC/MS Neg,180,5535,279.23295,60-33-3,5280450,4444105,C01595,HMDB00673,1.3726,2.5848,0.9148,0.6753,0.1909,0.9996,2.4233,0.2981,0.3817,0.1644,1.5194,1.0371,1.3231,0.595,0.5515,1.4707,0.4223,1.5764,0.9783,0.3832,0.4151,1.054,1.0004,0.7154,0.9665,0.4978,0.4953,0.9274,2.4396,0.432,0.0694,0.4094,0.3086,1.8848,4.4029,2.2418,0.9283,0.7749,1.2422,0.088,0.7388,1.2436,0.8224,1.9626,2.687,1.8556,0.9097,1.1406,0.3479,1.2258,0.3811,1.3223,2.3621,2.1468,0.6368,1.3962,1.9086,1.4866,1.5767,0.6947,0.1647,1.3141,1.6876,0.3614,0.2466,0.9552,0.53,2.7529,1.248,0.3884,0.3779,0.2785,0.2614,1.8051,1.2344,0.8362,0.2201,0.4719,0.1751,0.4378,2.154,2.8319,0.9417,1.5094,2.7571,3.6475,0.1376,0.347,1.9367,1.1806,2.8443,1.9233,0.401,1.0687,1.1617,1.1224,2.8152,0.7478,0.4128,0.472,2.4143,2.4268,3.0524,0.9965,0.9756,1.7409,2.7675,1.0803,3.6858,2.1414,0.3448,3.2548
1262,linolenate [alpha or gamma; (18:3n3 or 6)],Lipid,Polyunsaturated Fatty Acid (n3 and n6),34035,LC/MS Neg,100001337,5450,277.2173,,5280934,4444437,C06426,HMDB03073,1.0604,0.626,2.476,2.6899,0.2269,1.4538,2.1292,0.1574,0.6343,0.0685,1.9108,3.8113,0.3766,0.3561,0.436,4.2449,0.2091,6.8678,1.0732,2.514,0.2378,0.4495,0.3941,0.466,0.465,0.4995,0.2976,1.025,16.5196,1.0536,0.1316,0.2489,0.3194,1.6673,20.3344,2.5222,0.5121,0.3614,1.251,0.1168,0.975,0.5624,0.4767,2.8833,4.0909,6.3453,1.6473,0.7566,0.2914,1.7251,0.4778,0.8905,1.5271,4.0614,3.9275,0.464,0.4962,2.8767,1.0595,2.0622,0.1363,1.7477,2.4344,0.1362,0.303,2.5842,0.6941,6.8667,0.8478,0.3524,0.4358,0.357,0.305,7.1942,1.8438,1.3399,0.1892,0.5228,0.1633,0.6153,8.3668,1.4692,1.6323,1.5082,3.0514,16.4558,0.16,0.2784,0.2072,5.7583,2.3244,1.1577,0.2769,0.742,0.2886,4.5624,7.989,0.3188,1.172,0.6398,2.6555,7.904,4.8255,1.0754,0.2359,0.7385,13.8988,0.4044,17.4112,1.483,0.6789,16.6617
1731,linolenoyl ethanolamide,Lipid,Endocannabinoid,62746,LC/MS Pos Late,100020840,1488,322.27406,57086-93-8,5283449,4446569,,HMDB13624,2.1892,1.4052,0.3716,0.9147,2.5029,1.4823,3.1997,0.095,0.982,1.2294,0.3079,4.7021,3.2706,0.0424,0.3965,1.5534,0.2152,1.7191,2.5169,3.0257,1.2444,4.7243,0.2671,0.6265,0.8475,2.7488,3.0084,1.0372,2.8799,0.7606,0.2739,2.4476,1.0294,2.3211,5.0475,0.0424,2.5504,0.2999,0.6895,0.7432,1.5609,0.4461,0.2373,1.2379,0.2515,0.1063,1.1473,0.5608,0.2476,0.7391,0.1628,2.332,4.643,0.6495,1.544,0.0628,2.4814,5.2311,0.1356,1.1482,2.074,1.3587,1.2692,0.4801,5.9034,0.6567,1,0.7878,1.8821,2.375,0.5406,2.4058,0.4784,0.7544,3.0682,1.2716,1.2566,1.9404,3.9129,0.4134,3.7762,1.1075,1.7332,2.2309,2.1669,1.1143,0.167,0.42,0.0733,0.902,1.6391,0.0753,1.7659,0.2103,0.4637,0.3808,0.8843,0.1454,0.5939,2.7492,1.1122,0.684,0.5279,0.1836,0.2611,0.0824,0.2965,0.221,0.2895,0.195,2.7585,0.6605
2432,linolenoyl-linolenoyl-glycerol (18:3/18:3) [1]*,Lipid,Diacylglycerol,54951,LC/MS Pos Late,100010932,2229,630.50921,,,,,HMDB07278,0.9038,0.4753,5.7378,7.1388,0.3088,0.0716,4.6325,0.0921,0.0716,0.0716,1.1504,0.0716,0.0716,0.0716,0.0716,0.0716,0.0716,5.995,0.3677,0.9113,0.0716,0.0716,0.0716,0.0716,0.4497,0.9294,0.0716,0.1385,438.7406,0.6396,0.0716,0.0716,0.0716,0.3602,186.8707,1.9386,0.0716,0.0716,0.0716,0.2248,0.0716,0.0716,0.3462,1,0.0716,37.8781,0.6846,0.119,0.0716,0.6078,0.0716,0.0716,0.3313,1.699,3.1321,1.152,0.4666,0.078,0.4507,0.8164,0.0716,1.2881,13.9335,0.0716,0.0716,4.0593,0.0716,16.2479,0.2509,0.0716,0.0716,0.0716,0.0716,11.0951,1.9708,0.6213,0.0716,0.0716,0.0716,0.0716,5.9071,0.3977,0.0716,1.198,0.9237,40.9375,0.0716,0.0716,0.0716,13.2204,0.6002,1.5554,0.0716,0.3067,0.0716,24.8382,7.7955,0.0716,0.0716,0.0716,3.5339,20.28,3.8202,3.8403,0.0716,0.0716,0.8003,0.2284,30.5984,0.4237,0.0716,232.0457
2433,linolenoyl-linolenoyl-glycerol (18:3/18:3) [2]*,Lipid,Diacylglycerol,54952,LC/MS Pos Late,100010933,2268,630.50921,,,,,HMDB07278,0.9412,0.2373,5.3358,13.2652,0.3759,0.1203,6.3717,0.0685,0.0488,0.0488,1.4897,2.8844,0.0488,0.0488,0.0488,2.1023,0.0488,9.5662,0.4001,1,0.0488,0.0767,0.0488,0.0488,0.435,1.1921,0.0488,0.1566,355.2647,1.2818,0.0488,0.0488,0.0488,0.3419,145.6725,1.9164,0.1881,0.0679,0.0488,0.0488,0.0554,0.081,0.0933,0.8105,0.3367,29.9395,1.3252,0.2865,0.2294,0.5858,0.0488,0.0672,0.3116,1.3817,11.0322,1.5995,0.2992,0.1832,0.3635,0.8473,0.0488,2.9045,12.0734,0.0488,0.0488,6.3663,0.0488,20.0506,0.1891,0.0488,0.0488,0.0488,0.0488,15.2151,3.6674,1.7553,0.0488,0.0488,0.0488,0.0488,6.3622,0.5609,0.0488,1.2836,0.6707,39.976,0.0488,0.0714,0.0772,19.0565,0.3998,1.1786,0.0488,0.1757,0.0488,38.6263,4.1092,0.0488,0.0697,0.0488,1.9643,21.5699,1.8563,6.1379,0.0488,0.0488,1.9869,0.1247,22.2621,0.1267,0.1427,189.9892
1496,linolenoylcarnitine (C18:3)*,Lipid,Fatty Acid Metabolism(Acyl Carnitine),57511,LC/MS Pos Late,100015831,1310,422.32649,,,,,,1.2689,0.1496,0.1496,0.1997,0.9731,0.3781,2.096,0.2879,0.1496,2.0937,0.4243,1.6398,0.732,0.5878,0.1496,2.0256,0.1496,1.8112,0.96,1.4788,0.1974,1.8951,0.1496,1.6563,0.596,0.5584,1.8761,0.6732,2.4613,0.1496,0.1496,0.325,1.254,0.1496,4.9604,0.1496,0.659,0.1496,0.7743,0.8971,2.9176,0.237,0.5104,0.9693,0.6995,1.0246,2.976,2.3241,0.1496,0.1496,0.3912,2.0243,1.3171,0.1496,1.1094,0.4778,1.4471,0.6353,0.2482,0.4223,2.2202,1.5624,1.1738,0.1496,0.22,0.4718,0.9009,0.734,1.0478,1.1048,1.1899,0.8923,0.1496,1,1.2353,4.6129,0.8188,0.1496,0.7033,4.2716,1.2382,0.6071,0.6658,2.1799,1.858,0.9435,0.4207,0.1686,1.0028,1.6416,0.1496,0.1496,0.1496,1.0251,1.5146,0.3873,1.7826,0.9766,0.672,1.0876,1.5709,1.528,3.0241,0.3068,0.5672,0.7074,24.7943,1.2874,0.5948,0.3301,1.7818,4.6102
1730,linoleoyl ethanolamide,Lipid,Endocannabinoid,52608,LC/MS Pos Late,100006726,1561,324.28971,68171-52-8,5283446,4446566,,HMDB12252,2.2036,2.2609,0.3446,0.5865,3.7606,0.9004,4.7661,0.1309,1.0006,2.4557,0.3787,4.8455,4.4571,0.08,0.4542,1.3122,0.1323,1.164,2.9016,2.8833,2.1873,6.5133,0.9295,1.2705,2.5004,4.4166,5.4087,1.4494,2.8916,0.1294,0.1123,2.4691,1.2342,3.5562,5.9242,0.1108,3.6631,0.4995,0.4805,0.9504,2.8163,0.5004,0.6716,1.8591,0.1168,0.1899,1.7138,1.1372,0.6837,1.0946,0.182,3.5092,5.6412,0.6508,0.8572,0.1204,3.2509,6.2452,0.146,1.1569,3.8745,1.8839,1.83,0.6435,7.0851,0.926,0.8868,0.3844,5.5699,2.4102,0.9994,3.3722,0.1577,1.0924,4.1874,2.2792,2.2208,1.8761,7.1546,0.2098,1.2105,2.2763,2.9745,3.9835,0.8841,0.2811,0.036,0.1263,0.0929,0.2027,1.0162,0.0296,3.7962,0.1004,0.3013,0.7806,1.1992,0.0457,0.0514,3.4744,0.1916,0.1313,0.2534,0.4132,0.2805,0.0982,0.1102,0.2533,0.5328,0.142,0.4003,0.127
2438,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,Lipid,Diacylglycerol,54955,LC/MS Pos Late,100010922,2590,658.54051,,,,,HMDB07257,1,2.1339,0.0889,0.0662,0.0662,0.3599,3.7153,3.2887,0.0662,0.0662,0.5537,0.0662,1.1422,0.0662,0.3665,3.1117,4.8978,1.2479,1.6096,0.0662,0.4655,0.5213,1.5643,2.5347,1.3275,0.4637,0.6068,1.7828,1.4609,0.0662,0.0662,0.2178,0.0662,1.9727,3.4231,7.4772,0.1213,0.2176,0.0662,0.2923,0.1456,1.0679,0.3696,1.5118,6.6326,2.5573,1.4431,0.9412,0.0662,1.9312,0.1836,0.3457,2.2529,1.3302,0.184,8.5062,0.9882,0.172,0.5184,0.5875,0.127,2.5781,0.3997,2.4949,0.0662,0.5492,0.0662,0.3129,0.2109,0.0662,0.0662,0.0662,0.1378,1.7422,1.1186,0.362,0.0662,0.0662,0.1266,1.727,3.4669,4.3524,0.0662,1.5525,0.2898,0.6002,0.0662,0.6484,6.6464,1.2543,4.3033,2.728,0.0662,0.4911,0.0662,0.5079,5.0135,0.6586,0.2098,0.0662,4.4464,2.1811,1.0115,0.3173,0.94,1.965,0.7728,1.2783,0.9651,0.4181,0.3829,14.3
2439,linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,Lipid,Diacylglycerol,54956,LC/MS Pos Late,100010923,2650,658.54051,,,,,HMDB07257,0.8254,0.4743,0.099,0.1643,0.2685,0.4717,3.7236,2.8167,0.0326,0.0326,0.7121,0.147,2.0125,0.0326,0.9786,7.2545,8.5343,2.3211,2.4425,0.1436,0.4336,1.1056,1.0017,7.2855,2.2603,0.5841,0.0326,2.6587,2.2484,0.0687,0.0326,0.6923,0.1378,2.999,2.745,9.6452,0.6404,0.4008,0.0326,0.0962,0.4554,2.3716,0.3056,1.7776,7.9758,2.3325,2.133,2.4,0.3747,1.7295,0.0996,0.6583,2.8165,1.8754,0.4264,8.4215,0.5698,0.4633,0.8439,1.1747,0.0814,5.4826,0.3981,9.4742,0.0326,0.321,0.0326,0.524,0.4163,0.0491,0.0628,0.0326,0.1438,2.819,1.9502,0.9145,0.0773,0.0326,0.0326,5.9195,4.7335,3.784,0.0326,2.4173,0.4102,0.3997,0.0326,1.4301,7.0055,3.7839,4.3564,2.5902,0.0909,0.2926,0.0863,0.9983,3.4149,0.9884,1.0795,0.0326,4.2148,2.357,0.8758,0.8346,2.5715,1.2655,11.4191,2.505,0.714,0.3053,0.0326,7.3194
2442,linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [1]*,Lipid,Diacylglycerol,54949,LC/MS Pos Late,100010928,2450,682.54051,,,,,,0.1715,1.0102,0.1715,0.1715,0.1715,0.1715,3.268,0.1715,0.1715,0.1715,0.1959,0.1715,0.7616,0.1715,0.1715,0.1715,0.1715,0.1715,0.1715,0.1715,0.1715,0.3033,2.0737,1,0.9395,0.1715,0.1715,1.7459,0.3058,0.1715,0.1715,0.1715,0.1715,0.5679,6.2899,8.2055,0.1715,0.4685,0.1715,0.1715,0.9064,0.1715,0.1715,0.9842,0.1715,1.3151,19.1659,1.3307,0.1715,1.7109,0.1715,0.1715,1.5959,2.567,0.1715,24.4529,0.3107,0.1715,0.1715,0.1715,0.1715,0.1715,0.463,0.1715,0.1715,0.2206,0.1715,0.1976,0.1715,0.1715,0.1715,0.1715,0.1715,0.2464,0.9319,0.1715,0.1715,0.1715,0.1715,0.1715,3.6269,3.3582,0.1715,4.1545,0.1715,0.7767,0.1715,0.1715,3.6001,16.2325,2.1186,0.1715,0.1715,0.1715,0.1715,0.1715,5.859,0.1715,0.1715,0.1715,2.3885,1.1999,0.5841,0.2901,0.4725,0.7785,38.1728,0.891,0.8249,0.2753,0.1715,4.2486
2443,linoleoyl-docosahexaenoyl-glycerol (18:2/22:6) [2]*,Lipid,Diacylglycerol,54950,LC/MS Pos Late,100010929,2500,682.54051,,,,,HMDB07266,0.0595,0.367,0.0595,0.0595,0.0595,0.0595,2.6935,2.2878,0.0595,0.0595,0.1906,0.0595,0.7002,0.0595,0.0595,2.4437,4.7179,0.3821,1.8796,0.0595,0.1611,0.6056,2.7118,2.4876,1.0289,0.3069,0.0595,1.5383,0.3167,0.0595,0.0595,0.3974,0.0595,0.8083,3.5587,9.8158,1.411,0.8548,0.0595,0.0595,0.8852,0.578,0.0595,0.7945,4.7093,0.6918,15.576,2.2384,0.1868,1.244,0.0595,0.3411,1.1056,1.6349,0.5221,11.7728,0.1702,0.1512,0.2947,0.7849,0.0595,1.6914,0.5325,3.7297,0.0595,0.228,0.0595,0.3439,0.0595,0.0595,0.0595,0.0595,0.0595,0.4926,1.2334,0.3733,0.0595,0.0595,0.0595,0.0595,3.4856,1.8175,0.0595,2.5712,0.0595,0.4742,0.0595,1.232,2.457,15.0093,1.5582,1.9083,0.0595,0.5724,0.0595,1.2052,2.12,0.2662,0.0595,0.0595,1.8583,0.9711,0.2162,0.4883,1.0485,0.878,14.9806,1.952,0.4101,0.2552,0.0595,2.5986
2430,linoleoyl-linolenoyl-glycerol (18:2/18:3) [1]*,Lipid,Diacylglycerol,54963,LC/MS Pos Late,100010926,2426,632.52486,,,,,HMDB07249,6.9837,4.1464,10.7584,0.622,0.5987,0.19,50.546,0.2483,0.0467,0.0198,0.943,2.0225,0.7742,0.0198,0.0857,1.485,0.0978,11.7628,1.7488,0.482,0.0638,0.1919,0.0728,0.4792,3.3559,1.3548,0.0812,0.9238,257.463,1.2791,0.0198,0.2175,0.0746,1.9465,176.0662,7.6271,0.2383,0.4485,0.1007,0.0515,0.1842,0.5477,0.5285,6.789,0.7157,100.1162,2.574,1,0.206,2.6873,0.0198,0.4042,3.6806,5.1436,2.5795,14.5378,4.0671,0.1954,2.1603,0.569,0.0393,5.6112,33.7839,0.0198,0.0198,4.6363,0.0316,18.8115,0.7917,0.0845,0.1009,0.0198,0.0198,22.6921,5.9698,3.0352,0.0198,0.0198,0.053,0.0286,8.1979,14.1787,0.1183,9.7795,2.393,41.2943,0.0198,0.1632,0.8621,11.1221,2.3891,10.1604,0.0198,0.3635,0.0473,30.2017,33.5793,0.248,0.0395,0.0198,7.4185,60.0465,14.652,2.0025,0.0794,0.5511,1.1185,0.3819,46.1774,0.9367,0.0198,244.7411
2431,linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*,Lipid,Diacylglycerol,54964,LC/MS Pos Late,100010927,2478,632.52486,,,,,HMDB07250,6.7751,2.7046,7.9172,1,0.5247,0.2033,45.2151,0.1267,0.111,0.0774,1.1525,3.1204,0.2423,0.0208,0.1029,4.2612,0.1572,16.2193,2.2125,0.513,0.1482,0.3573,0.0666,1.11,3.451,3.9775,0.134,1.1219,167.81,2.2058,0.0266,0.3842,0.0835,2.5983,95.3103,9.3569,0.8101,0.6821,0.1649,0.1362,0.1794,0.9934,0.5958,6.0135,1.0156,68.1922,2.6777,1.6707,0.5342,2.6821,0.0233,0.4824,3.6427,3.6129,6.6904,9.5354,3.0673,0.3235,2.7153,0.7526,0.0999,8.0851,25.5585,0.1332,0.0652,6.3101,0.0208,21.3031,0.3219,0.0882,0.2619,0.0258,0.0276,25.4782,9.0709,6.2857,0.0522,0.0208,0.0796,0.1554,8.7509,9.6172,0.0909,7.8603,1.6746,33.0761,0.0618,0.1952,0.5454,13.1672,1.9058,9.3019,0.0313,0.4161,0.0572,38.3453,14.2502,0.3421,0.1369,0.0208,6.1645,48.762,8.2936,2.7632,0.0639,0.5264,0.5762,0.3169,25.1812,1.0055,0.0346,141.8789
